String,Kind,Domains,ReadSites,StringVA
AALimit,tag,ra2|rules|ts,0x673c1f,0x83d23c
AARate,tag,ra2|rules|ts,0x5b38d5,0x82c27c
AARatio,tag,ra2|rules|ts,0x673bfe,0x83d244
ACCO,code,,0x6c78e0,0x842050
ACP,code,,0x7d7386,0x7fa2d8
AFPS,code,,0x6c76be 0x6c76db,0x84207c
AIAlternateProductionCreditCutoff,tag,ra2|rules|ts,0x66fdf3,0x83c594
AIAutoDeployFrameDelay,tag,ra2|rules,0x670249,0x83c300
AIBasePlanningSide,tag,ra2|rules,0x714a02,0x843980
AIBaseSpacing,tag,ra2|rules|ts,0x673d78,0x83d1a8
AIBuildThis,tag,ra2|rules|ts|tsfs,0x460fe9,0x81a7fc
AIBuildsWalls,tag,ra2|rules|ts,0x66fe59,0x83c550
AICaptureLowMoney,tag,rules,0x6704a8,0x83c1a8
AICaptureLowMoneyMark,tag,rules,0x6704d8,0x83c190
AICaptureLowPower,tag,rules,0x67046e,0x83c1bc
AICaptureNormal,tag,rules,0x6703fb,0x83c1e4
AICaptureWounded,tag,rules,0x670435,0x83c1d0
AICaptureWoundedMark,tag,rules,0x6704fe,0x83c178
AIDefendAgainst,tag,rules,0x6ceaf7,0x8426cc
AIDifficulty,tag,ra2|rules,0x671fec,0x83d04c
AIExtraRefineries,tag,rules,0x67060c,0x83c114
AIForcePredictionFudge,tag,rules,0x6732ef,0x83d404
AIHateDelays,tag,ra2|rules|ts,0x66fdc4,0x83c5b8
AIIonCannonAPCValue,tag,ra2|rules|ts,0x6709e2,0x83bfa4
AIIonCannonBaseDefenseValue,tag,ra2|rules|ts,0x670a1b,0x83bf88
AIIonCannonConYardValue,tag,ra2|rules|ts,0x670814,0x83c06c
AIIonCannonEngineerValue,tag,ra2|rules|ts,0x6708fb,0x83c000
AIIonCannonHarvesterValue,tag,ra2|rules|ts,0x67096e,0x83bfcc
AIIonCannonHelipadValue,tag,ra2|ts,0x670a8f,0x83bf58
AIIonCannonMCVValue,tag,ra2|rules|ts,0x6709a8,0x83bfb8
AIIonCannonPlugValue,tag,ra2|ts,0x670a55,0x83bf70
AIIonCannonPowerValue,tag,ra2|rules|ts,0x670888,0x83c038
AIIonCannonTechCenterValue,tag,rules,0x6708c1,0x83c01c
AIIonCannonTempleValue,tag,ra2|ts,0x670ac8,0x83bf40
AIIonCannonThiefValue,tag,ra2|rules|ts,0x670935,0x83bfe8
AIIonCannonWarFactoryValue,tag,ra2|rules|ts,0x67084e,0x83c050
AIMD.INI,file,,0x52d357,0x82621c
AIMinorSuperReadyPercent,tag,ra2|rules,0x66ffc4,0x83c498
AINavalYardAdjacency,tag,ra2|rules,0x6701e6,0x83c33c
AIPL,code,,0x6c7307,0x8420b4
AIPickWallDefensePercent,tag,ra2|rules,0x6700d9,0x83c400
AIPlayers,tag,ra2|rules,0x67200c,0x83d040
AIRCRAFT,unclassified,,0x698a80,0x83f02c
AIRestrictReplaceTime,tag,ra2|rules,0x670103,0x83c3e8
AISafeDistance,tag,map|ra2|rules,0x66ff9f,0x83c4b4
