Address,Framework,Channel,Function,StolenBytes,Subsystem,SourceFile
0x4011C0,Antares,release,Audio_Load,0x6,Misc,src/Misc/Audio.cpp
0x4011C0,Ares,release,Audio_Load,0x6,Misc,src/Misc/Audio.cpp
0x401640,Antares,release,AudioIndex_GetSampleInformation,0x5,Misc,src/Misc/Audio.cpp
0x401640,Ares,release,AudioIndex_GetSampleInformation,0x5,Misc,src/Misc/Audio.cpp
0x4016F0,Antares,release,IDXContainer_LoadSample,0x6,Misc,src/Misc/Audio.cpp
0x4016F0,Ares,release,IDXContainer_LoadSample,0x6,Misc,src/Misc/Audio.cpp
0x4064A0,Antares,release,VocClass_AddSample,0x0,Misc,src/Misc/Audio.cpp
0x4064A0,Ares,release,VocClass_AddSample,0x0,Misc,src/Misc/Audio.cpp
0x4068E0,Antares,release,Debug_Log,0x1,Misc,src/Misc/Debug.cpp
0x4068E0,Ares,release,Debug_Log,0x1,Misc,src/Misc/Debug.cpp
0x4101B6,Antares,release,AbstractClass_CTOR,0x1,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x4101B6,Ares,release,AbstractClass_CTOR,0x1,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x4101F0,Antares,release,AbstractClass_DTOR,0x6,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x4101F0,Ares,release,AbstractClass_DTOR,0x6,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x4101F0,Kratos,release,AbstractClass_DTOR,0x6,Hooks,src/Hooks/PointerExpireHook.cpp
0x410320,Antares,release,AbstractClass_SaveLoad_Prefix,0x5,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x410320,Ares,release,AbstractClass_SaveLoad_Prefix,0x5,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x410372,Antares,release,AbstractClass_Save_Suffix,0x5,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x410372,Ares,release,AbstractClass_Save_Suffix,0x5,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x410380,Antares,release,AbstractClass_SaveLoad_Prefix,0x5,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x410380,Ares,release,AbstractClass_SaveLoad_Prefix,0x5,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x4103D6,Antares,release,AbstractClass_Load_Suffix,0x4,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x4103D6,Ares,release,AbstractClass_Load_Suffix,0x4,Ext/Abstract,src/Ext/Abstract/Body.cpp
0x412B40,Phobos,release,AircraftTrackerClass_FillCurrentVector,0x5,Misc,src/Misc/Hooks.BugFixes.cpp
0x413FA3,Antares,release,AircraftClass_Init_Cloakable,0x5,Misc,src/Misc/Bugfixes.cpp
0x413FA3,Ares,release,AircraftClass_Init_Cloakable,0x5,Misc,src/Misc/Bugfixes.cpp
