Framework,Tag,Members,Confidence,CandidateHooks,ParseSites
Antares,Abductor,Abductor,member-referenced,34,src/Ext/WeaponType/Body.cpp:123
Antares,Abductor.AbductBelowPercent,Abductor_AbductBelowPercent,member-referenced,34,src/Ext/WeaponType/Body.cpp:126
Antares,Abductor.Anim,Abductor_AnimType,member-referenced,34,src/Ext/WeaponType/Body.cpp:124
Antares,Abductor.ChangeOwner,Abductor_ChangeOwner,member-referenced,34,src/Ext/WeaponType/Body.cpp:125
Antares,Academy.AircraftVeterancy,AcademyAircraft,member-referenced-broad,104,src/Ext/BuildingType/Body.cpp:232
Antares,Academy.BuildingVeterancy,AcademyBuilding,member-referenced-broad,104,src/Ext/BuildingType/Body.cpp:234
Antares,Academy.Ignore,AcademyBlacklist,member-referenced-broad,104,src/Ext/BuildingType/Body.cpp:230
Antares,Academy.InfantryVeterancy,AcademyInfantry,member-referenced-broad,104,src/Ext/BuildingType/Body.cpp:231
Antares,Academy.Types,AcademyWhitelist,member-referenced-broad,104,src/Ext/BuildingType/Body.cpp:229
Antares,Academy.VehicleVeterancy,AcademyVehicle,member-referenced-broad,104,src/Ext/BuildingType/Body.cpp:233
Antares,AffectsEnemies,AffectsEnemies,member-referenced-broad,88,src/Ext/WarheadType/Body.cpp:90
Antares,AI.BaseDefenseCounts,BaseDefenseCounts,member-referenced-broad,41,src/Ext/Side/Body.cpp:99
Antares,AI.BaseDefenses,BaseDefenses,member-referenced,3,src/Ext/Side/Body.cpp:101
Antares,AI.PowerPlants,Powerplants,member-referenced-broad,66,src/Ext/HouseType/Body.cpp:285
Antares,AIBuildCounts,AIBuildCounts,member-referenced,13,src/Ext/BuildingType/Body.cpp:248
Antares,AIExtraCounts,AIExtraCounts,member-referenced,13,src/Ext/BuildingType/Body.cpp:249
Antares,AirburstSpread,AirburstSpread,member-referenced,13,src/Ext/BulletType/Body.cpp:31
Antares,AirRate,AirRate,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:345
Antares,AlliedSolidTransparency,AlliedSolidTransparency,member-referenced,3,src/Ext/Rules/Body.cpp:106
Antares,AllowBypassBuildLimit,,same-subsystem,12,src/Ares.GlobalControls.cpp:22
Antares,AllowMultiEngineer,AllowMultiEngineer,member-referenced,4,src/Ares.UISettings.cpp:91
Antares,AllowParallelAIQueues,AllowParallelAIQueues,member-referenced,8,src/Ares.GlobalControls.cpp:20
Antares,AlternateTheaterArt,AlternateTheaterArt,member-referenced,3,src/Ext/TechnoType/Hooks.Art.cpp:30
Antares,Ammo,Ammo,member-referenced,10,src/Ext/WeaponType/Body.cpp:133
Antares,AnimLength,AnimLength,member-referenced,13,src/Ext/BulletType/Body.cpp:39
Antares,ApplicationDelay,Application_Delay,same-subsystem,2,src/Enum/RadTypes.cpp:40
Antares,ApplyDamage,ApplyDamage,member-referenced-broad,88,src/Ext/WeaponType/Body.cpp:131
Antares,AroundTarget,AroundTarget,member-referenced,13,src/Ext/BulletType/Body.cpp:34
Antares,Assaulter.Level,AssaulterLevel,member-referenced,13,src/Ext/TechnoType/Body.cpp:409
Antares,AttachEffect.Animation,AnimType,member-referenced,24,src/Misc/AttachEffect.cpp:70
Antares,AttachEffect.AnimResetOnReapply,AnimResetOnReapply,same-subsystem-broad,332,src/Misc/AttachEffect.cpp:71
Antares,AttachEffect.ArmorMultiplier,ArmorMultiplier,same-subsystem-broad,332,src/Misc/AttachEffect.cpp:76
Antares,AttachEffect.Cloakable,Cloakable,member-referenced-broad,104,src/Misc/AttachEffect.cpp:78
Antares,AttachEffect.Cumulative,Cumulative,same-subsystem-broad,332,src/Misc/AttachEffect.cpp:69
Antares,AttachEffect.Damage,Damage,member-referenced-broad,246,src/Misc/AttachEffect.cpp:81
Antares,AttachEffect.DamageDelay,DamageDelay,member-referenced,17,src/Misc/AttachEffect.cpp:82
Antares,AttachEffect.Delay,Delay,member-referenced,10,src/Misc/AttachEffect.cpp:86
Antares,AttachEffect.DiscardOnEntry,DiscardOnEntry,member-referenced-broad,87,src/Misc/AttachEffect.cpp:74
Antares,AttachEffect.Duration,Duration,member-referenced-broad,60,src/Misc/AttachEffect.cpp:68
Antares,AttachEffect.FirepowerMultiplier,FirepowerMultiplier,same-subsystem-broad,332,src/Misc/AttachEffect.cpp:75
Antares,AttachEffect.ForceDecloak,ForceDecloak,same-subsystem-broad,332,src/Misc/AttachEffect.cpp:73
Antares,AttachEffect.SpeedMultiplier,SpeedMultiplier,same-subsystem-broad,332,src/Misc/AttachEffect.cpp:77
Antares,AttachEffect.TemporalHidesAnim,TemporalHidesAnim,member-referenced-broad,87,src/Misc/AttachEffect.cpp:72
Antares,AttachEffect.Warhead,Warhead,member-referenced-broad,261,src/Misc/AttachEffect.cpp:83
Antares,AudioVisual,DecloakSound;ElectricDeath;FirestormActiveAnim;FirestormAirAnim;FirestormGroundAnim;FirestormIdleAnim,member-referenced,17,src/Ext/Rules/Body.cpp:133 ; src/Ext/Rules/Body.cpp:135 ; src/Ext/Rules/Body.cpp:166 ; src/Ext/Rules/Body.cpp:167 ; src/Ext/Rules/Body.cpp:168 ; src/Ext/Rules/Body.cpp:169
Antares,AutoRepel,AutoRepelAI,member-referenced-broad,87,src/Ext/Rules/Body.cpp:96
Antares,BallisticScatter.Max,BallisticScatterMax,member-referenced,3,src/Ext/BulletType/Body.cpp:37
Antares,BallisticScatter.Min,BallisticScatterMin,member-referenced,3,src/Ext/BulletType/Body.cpp:36
Antares,Beam.Amplitude,Beam_Amplitude,member-referenced,14,src/Ext/WeaponType/Body.cpp:49
Antares,Beam.Color,Beam_Color,member-referenced,34,src/Ext/WeaponType/Body.cpp:51
Antares,Beam.Duration,Beam_Duration,member-referenced,14,src/Ext/WeaponType/Body.cpp:48 ; src/Ext/WeaponType/Body.cpp:112
Antares,Beam.IsHouseColor,Beam_IsHouseColor,member-referenced,14,src/Ext/WeaponType/Body.cpp:50
Antares,Berserk.ROFMultiplier,BerserkROFMultiplier,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:402
Antares,BerserkROFMultiplier,BerserkROFMultiplier,member-referenced-broad,88,src/Ext/Rules/Body.cpp:94
Antares,Bolt.Color1,Bolt_Color1,member-referenced,5,src/Ext/WeaponType/Body.cpp:73
Antares,Bolt.Color2,Bolt_Color2,member-referenced,5,src/Ext/WeaponType/Body.cpp:74
Antares,Bolt.Color3,Bolt_Color3,member-referenced,5,src/Ext/WeaponType/Body.cpp:75
Antares,BuildupTime,BuildupTime,member-referenced,5,src/Ext/BuildingType/Body.cpp:251
Antares,BuiltAt,BuiltAt,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:307
Antares,Bunker.Raidable,BunkerRaidable,member-referenced,12,src/Ext/BuildingType/Body.cpp:150
Antares,CampaignList,CampaignList,member-referenced,17,src/Ares.UISettings.cpp:92
Antares,CampaignListSize,CampaignListSize,member-referenced,17,src/Ares.UISettings.cpp:95
Antares,CampaignScore.Animation,ScoreCampaignAnimation,member-referenced-broad,41,src/Ext/Side/Body.cpp:135
Antares,CampaignScore.Background,ScoreCampaignBackground,member-referenced-broad,41,src/Ext/Side/Body.cpp:133
Antares,CampaignScore.OverParTheme,ScoreCampaignThemeOverPar,member-referenced-broad,41,src/Ext/Side/Body.cpp:149
Antares,CampaignScore.Palette,ScoreCampaignPalette,member-referenced-broad,41,src/Ext/Side/Body.cpp:136
Antares,CampaignScore.Transition,ScoreCampaignTransition,member-referenced-broad,41,src/Ext/Side/Body.cpp:134
Antares,CampaignScore.UnderParTheme,ScoreCampaignThemeUnderPar,member-referenced-broad,41,src/Ext/Side/Body.cpp:148
Antares,CanBeOccupiedBy,AllowedOccupiers,same-subsystem-broad,103,src/Ext/BuildingType/Body.cpp:211
Antares,CanBeReversed,CanBeReversed,member-referenced-broad,202,src/Ext/TechnoType/Body.cpp:293
Antares,CanDrive,CanDrive,member-referenced-broad,88,src/Ext/TechnoType/Body.cpp:257
Antares,CanMakeStuffUp,CanMakeStuffUp,member-referenced,5,src/Ext/Rules/Body.cpp:74
