Framework,Subsystem,Address,FunctionName,StolenBytes,SourceFile
Antares,.,0x47AE36,CDFileClass_SetFileName,8,Ares.cpp
Antares,.,0x47B026,FileFindOpen,8,Ares.cpp
Antares,.,0x52C5E0,Ares_NoLogo,7,Ares.cpp
Antares,.,0x52CAE9,_YR_PostGameInit,5,Ares.cpp
Antares,.,0x52F639,_YR_CmdLineParse,5,Ares.cpp
Antares,.,0x533058,CommandClassCallback_Register,7,Ares.Commands.cpp
Antares,.,0x5FACDF,_Options_LoadFromINI,5,Ares.UISettings.cpp
Antares,.,0x685659,Scenario_ClearClasses,a,Ares.Ext.cpp
Antares,.,0x6AD0ED,Ares_AllowSinglePlay,5,Ares.cpp
Antares,.,0x6BC0CD,_LoadRA2MD,5,Ares.GlobalControls.cpp
Antares,.,0x7258D0,AnnounceInvalidPointer,6,Ares.Ext.cpp
Antares,.,0x7CD810,ExeRun,9,Ares.cpp
Antares,.,0x7CD8EF,ExeTerminate,9,Ares.cpp
Antares,Enum,0x4753F0,ArmorType_FindIndex,A,ArmorTypes.cpp
Antares,Enum,0x4B9A52,DropshipLoadout_PrintArmor,5,ArmorTypes.cpp
Antares,Ext/Abstract,0x4101B6,AbstractClass_CTOR,1,Body.cpp
Antares,Ext/Abstract,0x4101F0,AbstractClass_DTOR,6,Body.cpp
Antares,Ext/Abstract,0x410320,AbstractClass_SaveLoad_Prefix,5,Body.cpp
Antares,Ext/Abstract,0x410372,AbstractClass_Save_Suffix,5,Body.cpp
Antares,Ext/Abstract,0x410380,AbstractClass_SaveLoad_Prefix,5,Body.cpp
Antares,Ext/Abstract,0x4103D6,AbstractClass_Load_Suffix,4,Body.cpp
Antares,Ext/AnimType,0x4232CE,AnimClass_Draw_SetPalette,6,Hooks.cpp
Antares,Ext/AnimType,0x4250C9,AnimClass_Expired_ScorchFlamer,7,Hooks.cpp
Antares,Ext/AnimType,0x42511B,AnimClass_Expired_ScorchFlamer,7,Hooks.cpp
Antares,Ext/AnimType,0x42513F,AnimClass_Expired_ScorchFlamer,7,Hooks.cpp
Antares,Ext/AnimType,0x42784B,AnimTypeClass_CTOR,5,Body.cpp
Antares,Ext/AnimType,0x4287DC,AnimTypeClass_LoadFromINI,A,Body.cpp
Antares,Ext/AnimType,0x4287E9,AnimTypeClass_LoadFromINI,A,Body.cpp
Antares,Ext/AnimType,0x428800,AnimTypeClass_SaveLoad_Prefix,A,Body.cpp
Antares,Ext/AnimType,0x42892C,AnimTypeClass_Load_Suffix,6,Body.cpp
Antares,Ext/AnimType,0x428958,AnimTypeClass_Load_Suffix,6,Body.cpp
Antares,Ext/AnimType,0x428970,AnimTypeClass_SaveLoad_Prefix,8,Body.cpp
